title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Kabinet gradonačelnika,7380068,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Pododjeljenje za imovinsko - pravne poslove,5443438.85,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Sektor održavanja,1625792,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Inspektorat,2067576.6,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
"Pododjeljenje za podr. MZ, NVO i UG",1919102.94,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Skupština,1532332.64,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Poreska uprava,1660566,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
"Pododjeljenje za prostorno plani., urb. i zašt. ok.",1004762.87,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Brčko Distrikt
Pododjeljenje za katastarske knjige,1156630,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Trezor,1276662,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
Stručna služba Skupštine,1020799,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Ured za reviziju,899339.9,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
Sektor za informacione tehnolo.,166415,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Brčko Distrikt
Pododjeljenje za matičnu evidenciju,1539667.31,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Sektor za informisanje,499964,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Izborna komisija,297887,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Pododjeljenje za ljudske resurse,376357.9,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Brčko Distrikt
Stručna služba Direkcije za finans.,736025.95,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Pododjeljenje za lične dokumente,646694.66,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Sektor za koord. politika i opće poslove,549466,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Sektor raspolaganja,436414,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Kancelarija direktora,1922289.65,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Pododjeljenje za javne nabavke,306622.14,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
Kancelarija koordinatora BD BiH pri Vijeći min.,298750.67,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Komisija za papire od vrijednosti,257297,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Sektor za reformu i EU integracije,292609.3,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Brčko Distrikt
Ured direktora Direkcije za finans.,216863,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Zakonodavna kancelarija,230098,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Služba za arhiv,232381.5,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Brčko Distrikt
Apelaciona komisija,175265,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Brčko Distrikt
Pododjeljenje za izd. dozv. i ovlašt.u građevi.,200611.64,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Pododjeljenje za zajed. posl. i stru. nadzor,923695.4,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Pododjeljenje za informatiku ,1112674.3,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Služba zajedničkih poslova,4088810,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Sektor registra,120376,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Odbor za zapošljavanje,137336,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Brčko Distrikt
Upravna inspekcija,93839,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Sekretarijat Vlade,228132.04,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Uniformisana krim. policija i dr.,10008044.71,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Brčko Distrikt
Pododjeljenje za zašt. i spašav.,4018613.79,2013,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Brčko Distrikt
Javna bezbjednost - Zajednički poslovi,164183.83,2013,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Brčko Distrikt
Osnovni sud,3908975.96,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Pravosudna komisija,3074193.61,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Tužilaštvo,1341400.91,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Apelacioni sud,1035582.59,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Pravobranilaštvo,596922.17,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Administracija,454905,2013,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Brčko Distrikt
Kancelarija za pravnu pomoć,469769.46,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Pododjeljenje za privredni razvoj,9860452.84,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Brčko Distrikt
Pododjeljnje za poljoprivredu,10008715.84,2013,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Brčko Distrikt
Pododjeljenje za šumar. i vodoprivr.,1086782.65,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Brčko Distrikt
Pododjeljenje za veterin.,694199.84,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Brčko Distrikt
Pododojeljenje za analizu i admin. podršku,235567.6,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Brčko Distrikt
Opća bolnica Brčko,6586022.97,2013,07,Zdravstvo,07.3,Bolnice,07.3.1,Opšte bolnice,Brčko Distrikt
Služba za admin. i statist. odjeljenja,17228250.19,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Brčko Distrikt
Zdravstveni centari,3712666,2013,07,Zdravstvo,07.4,Javno zdravstvo,07.4.0,Javno zdravstvo,Brčko Distrikt
Pododjeljenje za javno zdravstvo,736025.46,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Brčko Distrikt
Dječiji dodatak,9639937,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Boračko-inv. zaštita i civil. žrtve rata,3704002.4,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Tuđa pomoć i njega,2055931,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Stalne novčane pomoći,1987599,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Jednokratne novč. pomoći umirovljenika,1182000,2013,10,Penzije i socijalno,10.2,Penzioneri,10.2.0,Penzioneri,Brčko Distrikt
Refundacija privr. subjekt. za porod odsust.,1229870,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Centar za socijalni rad,858041.8,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Sredstva za sub. osobama u stanju soc. potreba,697320,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Smještaj maloljet. i punoljet. štićenika u ustanove,782554,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Izdaci za javnu kuhinju,222939,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Jednokratne pomoći - 3 Fond Solidarnosti,199892,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Djeca i odrasli pod starateljstvom,87348,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Materinski dodatak,137829,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Oprema za novorođenče,132173,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Nabavka lijekova i trošk. sahrane za korisnike st. soc. pomoći,90872,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Pododjeljenje za turizam kulturu i sport,4801595.23,2013,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Brčko Distrikt
Osnovno obrazovanje,19064028.54,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Brčko Distrikt
Srednje obrazovanje,9476623,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Brčko Distrikt
Pododjeljenje za zajed. poslove,183803.5,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Brčko Distrikt
Obdenište 'Naša djeca',1595085.46,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.1,Predškolsko obrazovanje,Brčko Distrikt
